cohort_year,collection_key,reason
2025,lazarus-101,category-predicate-not-matched
2025,lazarus-108,category-predicate-not-matched
2025,lazarus-111,category-predicate-not-matched
2025,long-story-short-01,outside-animation-universe
2025,love-death-robots-04,category-predicate-not-matched
2025,lowdown-101,outside-animation-universe
2025,mickey-17,outside-animation-universe
2025,mid-century-modern-01,outside-animation-universe
2025,minecraft-movie-2025,outside-animation-universe
2025,night-agent-02,outside-animation-universe
2025,nouvelle-vague,outside-animation-universe
2025,one-battle-after-another,outside-animation-universe
2025,only-murders-in-the-building-501,outside-animation-universe
2025,only-murders-in-the-building-508,outside-animation-universe
2025,peacemaker-201,outside-animation-universe
2025,pluribus-107,outside-animation-universe
2025,predator-badlands,outside-animation-universe
2025,prehistoric-planet-03,category-predicate-not-matched
2025,reacher-301,outside-animation-universe
2025,reacher-307,outside-animation-universe
2025,sean-combs-the-reckoning,outside-animation-universe
2025,severance-201,outside-animation-universe
2025,severance-209,outside-animation-universe
2025,sinners-2025,outside-animation-universe
2025,sly-lives,outside-animation-universe
2025,south-park-27,category-predicate-not-matched
2025,squid-game-03,outside-animation-universe
2025,star-wars-visions-03,category-predicate-not-matched
2025,stranger-things-05.1,outside-animation-universe
2025,stranger-things-05.2,outside-animation-universe
2025,studio-2025-101,outside-animation-universe
2025,summer-i-turned-pretty-311,outside-animation-universe
2025,superman-2025,outside-animation-universe
2025,tron-ares,outside-animation-universe
2025,weapons-2025,outside-animation-universe
2025,wednesday-02.1,outside-animation-universe
2025,wednesday-02.2,outside-animation-universe
2025,white-lotus-301,outside-animation-universe
2025,white-lotus-307,outside-animation-universe
2025,wicked-2024,outside-animation-universe
2025,wicked-for-good-2025,outside-animation-universe
2025,witcher-04,outside-animation-universe
2025,yellowjackets-201,outside-animation-universe
2025,your-friendly-neighborhood-spider-man-01,category-predicate-not-matched
2025,zero-day-01,outside-animation-universe
2026,acolyte-107,outside-animation-universe
2026,all-you-need-is-kill,outside-animation-universe
2026,avatar-the-last-airbender-2024-02,outside-animation-universe
2026,backrooms-2026,outside-animation-universe
2026,bear-00,outside-animation-universe
2026,bear-05,outside-animation-universe
2026,beastars-03.2,category-predicate-not-matched
2026,beauty-108,outside-animation-universe
2026,beef-02,outside-animation-universe
2026,bluff,outside-animation-universe
2026,boys-501,outside-animation-universe
2026,bridgerton-04.1,outside-animation-universe
2026,bridgerton-04.2,outside-animation-universe
2026,dang-01,outside-animation-universe
2026,dark-winds-401,outside-animation-universe
2026,dinosaurs-01,category-predicate-not-matched
2026,drama-2026,outside-animation-universe
2026,enola-holmes-3,outside-animation-universe
2026,euphoria-301,outside-animation-universe
2026,fallout-2024-206,outside-animation-universe
2026,for-all-mankind-501,outside-animation-universe
2026,furious-2025,outside-animation-universe
2026,ghost-in-the-shell-2026-01,outside-animation-universe
2026,goat-2026,outside-animation-universe
2026,hijack-201,outside-animation-universe
2026,his-and-hers-2026-01,outside-animation-universe
2026,hoppers,outside-animation-universe
2026,house-of-the-dragon-301,outside-animation-universe
2026,house-of-the-dragon-308,outside-animation-universe
2026,industry-401,outside-animation-universe
2026,invincible-401,outside-animation-universe
2026,invite-2026,outside-animation-universe
2026,knight-of-the-seven-kingdoms-106,outside-animation-universe
2026,lanterns-101,outside-animation-universe
2026,legend-of-aang-the-last-airbender,outside-animation-universe
2026,legend-of-vox-machina-410,outside-animation-universe
2026,love-story-2026-107,outside-animation-universe
2026,man-on-the-run,outside-animation-universe
2026,mandalorian-and-grogu,outside-animation-universe
